,images,masks,labels
0,ID319_A1_Regione-0.jp2-crop_slice_17/43_image.png,ID319_A1_Regione-0.jp2-crop_slice_17/55_mask.png,ID319_A1_Regione-0.jp2-crop_slice_17/32_label.tif
1,ID319_A1_Regione-0.jp2-crop_slice_17/48_image.png,ID319_A1_Regione-0.jp2-crop_slice_17/51_mask.png,ID319_A1_Regione-0.jp2-crop_slice_17/2_label.tif
2,ID319_A1_Regione-0.jp2-crop_slice_17/30_image.png,ID319_A1_Regione-0.jp2-crop_slice_17/37_mask.png,ID319_A1_Regione-0.jp2-crop_slice_17/11_label.tif
3,ID319_A1_Regione-0.jp2-crop_slice_17/58_image.png,ID319_A1_Regione-0.jp2-crop_slice_17/29_mask.png,ID319_A1_Regione-0.jp2-crop_slice_17/19_label.tif
4,ID319_A1_Regione-0.jp2-crop_slice_17/53_image.png,ID319_A1_Regione-0.jp2-crop_slice_17/33_mask.png,ID319_A1_Regione-0.jp2-crop_slice_17/31_label.tif
5,ID319_A1_Regione-0.jp2-crop_slice_17/31_image.png,ID319_A1_Regione-0.jp2-crop_slice_17/17_mask.png,ID319_A1_Regione-0.jp2-crop_slice_17/58_label.tif
6,ID319_A1_Regione-0.jp2-crop_slice_17/28_image.png,ID319_A1_Regione-0.jp2-crop_slice_17/47_mask.png,ID319_A1_Regione-0.jp2-crop_slice_17/55_label.tif
7,ID319_A1_Regione-0.jp2-crop_slice_17/21_image.png,ID319_A1_Regione-0.jp2-crop_slice_17/46_mask.png,ID319_A1_Regione-0.jp2-crop_slice_17/12_label.tif
8,ID319_A1_Regione-0.jp2-crop_slice_17/4_image.png,ID319_A1_Regione-0.jp2-crop_slice_17/28_mask.png,ID319_A1_Regione-0.jp2-crop_slice_17/54_label.tif
9,ID319_A1_Regione-0.jp2-crop_slice_17/54_image.png,ID319_A1_Regione-0.jp2-crop_slice_17/32_mask.png,ID319_A1_Regione-0.jp2-crop_slice_17/60_label.tif
10,ID319_A1_Regione-0.jp2-crop_slice_17/20_image.png,ID319_A1_Regione-0.jp2-crop_slice_17/40_mask.png,ID319_A1_Regione-0.jp2-crop_slice_17/46_label.tif
11,ID319_A1_Regione-0.jp2-crop_slice_17/46_image.png,ID319_A1_Regione-0.jp2-crop_slice_17/34_mask.png,ID319_A1_Regione-0.jp2-crop_slice_17/20_label.tif
12,ID319_A1_Regione-0.jp2-crop_slice_17/50_image.png,ID319_A1_Regione-0.jp2-crop_slice_17/8_mask.png,ID319_A1_Regione-0.jp2-crop_slice_17/45_label.tif
13,ID319_A1_Regione-0.jp2-crop_slice_17/36_image.png,ID319_A1_Regione-0.jp2-crop_slice_17/20_mask.png,ID319_A1_Regione-0.jp2-crop_slice_17/14_label.tif
14,ID319_A1_Regione-0.jp2-crop_slice_17/1_image.png,ID319_A1_Regione-0.jp2-crop_slice_17/5_mask.png,ID319_A1_Regione-0.jp2-crop_slice_17/29_label.tif
15,ID319_A1_Regione-0.jp2-crop_slice_17/2_image.png,ID319_A1_Regione-0.jp2-crop_slice_17/30_mask.png,ID319_A1_Regione-0.jp2-crop_slice_17/36_label.tif
16,ID319_A1_Regione-0.jp2-crop_slice_17/47_image.png,ID319_A1_Regione-0.jp2-crop_slice_17/10_mask.png,ID319_A1_Regione-0.jp2-crop_slice_17/9_label.tif
17,ID319_A1_Regione-0.jp2-crop_slice_17/9_image.png,ID319_A1_Regione-0.jp2-crop_slice_17/52_mask.png,ID319_A1_Regione-0.jp2-crop_slice_17/53_label.tif
18,ID319_A1_Regione-0.jp2-crop_slice_17/45_image.png,ID319_A1_Regione-0.jp2-crop_slice_17/44_mask.png,ID319_A1_Regione-0.jp2-crop_slice_17/30_label.tif
19,ID319_A1_Regione-0.jp2-crop_slice_17/33_image.png,ID319_A1_Regione-0.jp2-crop_slice_17/57_mask.png,ID319_A1_Regione-0.jp2-crop_slice_17/28_label.tif
20,ID319_A1_Regione-0.jp2-crop_slice_17/13_image.png,ID319_A1_Regione-0.jp2-crop_slice_17/9_mask.png,ID319_A1_Regione-0.jp2-crop_slice_17/34_label.tif
21,ID319_A1_Regione-0.jp2-crop_slice_17/32_image.png,ID319_A1_Regione-0.jp2-crop_slice_17/18_mask.png,ID319_A1_Regione-0.jp2-crop_slice_17/27_label.tif
22,ID319_A1_Regione-0.jp2-crop_slice_17/49_image.png,ID319_A1_Regione-0.jp2-crop_slice_17/62_mask.png,ID319_A1_Regione-0.jp2-crop_slice_17/57_label.tif
23,ID319_A1_Regione-0.jp2-crop_slice_17/41_image.png,ID319_A1_Regione-0.jp2-crop_slice_17/16_mask.png,ID319_A1_Regione-0.jp2-crop_slice_17/35_label.tif
24,ID319_A1_Regione-0.jp2-crop_slice_17/39_image.png,ID319_A1_Regione-0.jp2-crop_slice_17/41_mask.png,ID319_A1_Regione-0.jp2-crop_slice_17/42_label.tif
